name,description,imageUrl,city,province,openTime,closeTime,latitude,longitude,accessibility,historical_context,hands_on_activities,planning,rating
Sri Dalada Maligawa,"One of the most sacred Buddhist temples in the world, housing a relic believed to be a tooth of the Buddha.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg/1920px-SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg,Kandy,Central,8:00 AM,5:00 PM,7.293608973984608,80.63645944060477,"Wheelchair-accessible car park, Wheelchair-accessible entrance",,,,4.7
Gadaladeniya Raja maha viharaya,"A beautiful stone temple built by King Wickramabahu III in the 14th century, showcasing South Indian architectural influences.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Gadaladeniya_Viharaya_02.JPG/1280px-Gadaladeniya_Viharaya_02.JPG,"Pilimathalawa, Kandy",Central,7:00 AM,8:00 PM,7.257530000000011,80.53695658715819,,,,,4.8
Embekka Dewalaya,"Another temple celebrated for its impressive wood carvings, dedicated to guardian deities.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Embekka_Devalaya_01.JPG/1280px-Embekka_Devalaya_01.JPG,"Udunuwara, Kandy",Central,0:00 AM,0:00 AM,7.2179443927577775,80.56513081011812,,,,,4.6
Sri Pada / Adam's Peak,"A sacred mountain revered by multiple religions, with a footprint-shaped mark believed to be that of Lord Buddha or Adam, depending on religious belief.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Sri_Pada.JPG/1280px-Sri_Pada.JPG,Ratnapura,Central,0:00 AM,0:00 PM,6.809642740550588,80.48906698264882,,,,,4.6
Nalanda Gedige (Central point of Sri Lanka),"A unique archaeological site blending Hindu and Buddhist architectural styles, believed to have been a place of worship.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Nalanda_Gedige.jpg/1280px-Nalanda_Gedige.jpg,Matale,Central,7:00 AM,5:00 PM,7.669748599999999,80.645856,Wheelchair-accessible car park,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing, Good for kids",,4.6
Aluvihara Rock Cave Temple,An ancient cave temple where the Tripitaka (the Buddhist scriptures) is said to have been written on ola leaves.,https://tlc.lk/wp-content/uploads/2017/08/TLClk_Aluvihara-Rock-Cave-Temple-CSP0779327-1.jpg,"Aluvihare, Matale",Central,0:00 AM,0:00 AM,7.49772561342765,80.62178391906617,Wheelchair-accessible car park,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",,4.7
Arankale Buddhist Monastery,Ruins of an ancient monastery believed to date back to the 1st century BC.,https://www.thingstodosrilanka.com/wp-content/uploads/2020/05/Arankele-Forest-Monestry-1024x553.jpg,Kumbukwewa,Central,8:00 AM,5:00 PM,7.639653772779017,80.41433284263776,Wheelchair-accessible car park,,,,4.6
Bambaragala Purana Rajamaha Viharaya,"An archaeological site featuring ancient rock inscriptions, believed to be from the 9th to 11th centuries.",https://i2.wp.com/amazinglanka.com/wp/wp-content/uploads/2017/11/waduwawa-009.jpg?ssl=1,Kandy,Central,5:00 AM,6:00 PM,7.969620751150967,80.13120920223723,,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",,4.8
Lankatilaka Temple,"Another temple dedicated to Lord Buddha, known for its unique architectural design and stunning views.",https://www.storyofsrilanka.com/images/slider/sri-lanka-guide-destinations/lankatilaka-vihara/01.jpg,Polonnaruwa,Central,9:00 AM,5:00 PM,7.962814392028876,81.00106031042556,,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",,4.7
Adisham Bungalow (St.Benedict's Monastery),"A beautifully preserved colonial mansion built by Sir Thomas Lester Villiers, featuring picturesque gardens and architecture.",https://upload.wikimedia.org/wikipedia/commons/2/2d/Adisham_Bungalow.JPG,Haputale,Central,9:00 AM,4:30 PM,6.772187450014337,80.9308764674591,"Wheelchair-accessible car park, Wheelchair-accessible entrance",British colonial era,"Photography, Sightseeing",Getting tickets in advance recommended,4.6
Rideekanda Forest Monastery,"An archaeological site with ancient ruins and inscriptions, providing insight into the region's historical Buddhist presence.",https://www.rideekanda.com/uploads/2022/1/rideekanda_forest_monastery_sri_lanka_53.jpg,Matale,Central,0:00 AM,0:00 AM,7.534774392447118,80.557663210421,,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
